group,x1,x2,x3
A,-1.39,13.304,4.273
A,3.2,-1.343,5.431
A,3.765,4.036,10.024
A,-3.108,-0.481,-0.146
A,8.942,10.061,11.075
A,-4.982,4.582,4.73
A,0.027,-2.46,1.705
A,-6.035,4.909,8.685
A,6.58,-3.421,-0.199
A,5.416,0.24,5.383
A,-2.615,8.876,-0.408
A,7.963,5.832,-0.087
A,-1.302,0.62,4.288
A,5.764,13.201,2.872
A,1.767,1.859,7.104
A,4.723,6.401,4.225
A,-0.382,6.801,7.949
A,4.213,2.049,1.118
A,3.17,4.95,4.893
A,-1.742,5.249,7.837
A,1.697,5.544,6.789
A,6.212,2.7,3.57
A,5.747,0.156,5.489
A,6.298,4.345,3.498
A,-1.413,5.988,-4.189
A,1.004,12.186,1.424
A,-3.949,6.553,-0.936
A,0.838,7.056,2.653
A,-1.978,9.419,7.273
A,4.847,11.581,3.157
A,9.684,14.081,2.345
A,11.259,7.266,1.908
A,0.263,6.251,6.188
A,-0.362,5.079,-2.796
A,3.907,10.204,7.519
A,1.929,-1.044,3.345
A,4.209,2.983,8.296
A,4.94,14.241,9.574
A,2.277,1.695,2.625
A,-3.196,3.301,6.959
A,-1.218,4.495,3.578
A,-0.061,5.183,-3.072
A,1.622,-7.001,2.533
A,0.083,3.923,1.699
A,3.472,8.817,5.337
A,2.506,3.727,13.627
A,-0.825,9.968,9.313
A,2.294,3.568,7.27
A,-1.615,4.65,3.2
A,0.581,4.172,3.069
A,-3.504,-1.597,4.331
A,-1.103,9.902,7.727
A,10.806,2.356,6.941
A,1.43,8.358,13.642
A,4.87,8.166,0.016
A,1.099,3.423,3.89
A,9.018,4.288,-0.038
A,4.289,3.201,6.342
A,6.405,10.511,3.252
A,3.068,4.648,-1.351
A,-2.471,4.383,-1.695
A,0.341,4.562,4.271
A,-1.289,9.086,5.232
A,1.822,10.972,3.958
A,10.565,8.804,5.273
A,1.346,-3.215,-5.376
A,-4.23,4.514,8.323
A,-0.564,8.528,-1.482
A,-0.721,6.694,0.367
A,1.253,9.196,5.325
A,1.26,9.672,1.776
A,-0.405,1.355,6.289
A,5.531,2.37,6.471
A,-3.845,-2.51,5.076
A,2.125,6.08,2.258
A,1.273,-0.307,0.871
A,0.23,10.881,6.937
A,8.129,4.017,6.376
A,-1.366,11.441,5.017
A,-3.574,-0.382,4.773
A,2.393,9.139,3.186
A,-1.594,15.481,-1.006
A,1.606,6.804,6.169
A,2.276,11.203,-1.024
A,0.828,-2.357,-2.555
A,-2.457,4.517,4.908
A,3.258,1.425,0.283
A,8.695,5.624,4.512
A,0.102,2.357,1.539
